Area,Zipcode
MG Road,560001
Vasantnagar,560052
Residency Rd,560025
Ulsoor Rd,560008
Avenue Rd,560002
Chickpet,560053
Chamrajpet,560018
Basaveshwarnagar,560079
Vijaynagar,560040
Magadi Road,560023
Mahalakshmi Layout,560086
Mathikere Main Rd,560054
Yeswantpur,560022
Peenya,560058
HMT Layout,560031
Vidyaranyapura,560097
Jalahalli,560013
RT Nagar,560032
Hebbal / Jakkur,560024
Yelhanka New Satellite Town,560064
Vyalikaval,560003
Sadashivnagar,560080
Sanjaynagar,560094
Seshadripuram,560020
Jayamahal,560046
Lingarajpuram,560084
Banaswadi,560043
Krishanrajpuram,560036
CV Raman Nagar,560093
Viveknagar,560047
100 Ft / CMH Road,560038
Thippasandra Layout,560075
Marathahalli,560037
Whitefield,560066
Varthur / Kundahalli,560087
Frazer Town,560005
Kengeri,560060
Rajarajeswari nagar,560098
Yediyur,560082
Basavangudi,560004
Thyagarajnagar,560028
Banashankari,560050
Padmanabhnagar,560070
Gandhi Bazar,560009
Adugodi,560030
Wilson Garden,560027
Bannerghatta Rd,560076
Jayanagar Shopping Complex,560011
JP Nagar,560078
Koramangala,560034
Electronic City,560100
